,prompt,answer
17,"ขอบทความเรื่อง ""LibreOffice โปรแกรมเอกสารดีๆไม่ต้องใช้ Word"" โดยให้แนะนำโปรแกรมชุด LibreOffice","LibreOffice พัฒนาโดย The Document Foundation เป็นซอฟต์แวร์แบบโอเพนซอร์ส ไม่มีค่าใช้จ่ายโปรแกรมครับ โดยโปรแกรมพัฒนามาจาก OpenOffice.org มีใช้หลายระบบทั้ง linux Windows  OS X ครับ แถมรองรับภาษาไทยเต็มรูปแบบ

โปรแกรมใน LibreOffice
โปรแกรมที่มากับ LibreOffice มีโปรแกรมดังนี้
1.LibreOffice Writer เป็นโปรแกรมพิมพ์เอกสาร สามารถแก้ไขเอกสารได้ทั้งไฟล์ .doc .docx เป็นต้นครับ และสามารถส่งออกเป็นไฟล์ .xml .html และ .pdf เมนูคล้ายๆ Word 2003
2.LibreOffice Impress เป็นโปรแกรมสร้างงานนำเสนอ มีลูกเล่นต่าง ๆ มีแม่แบบสวยๆมากมาย และสามารถส่งออกเป็นไฟล์ .pdf  ได้
3.LibreOffice Calc เป็นโปรแกรมคำนวณแบบตาราง เหมือนกับ Excel
4.LibreOffice Base เป็นโปรแกรมสำหรับสร้างฐานข้อมูล เก็บข้อมูลในฐานข้อมูล
5.LibreOffice Math เป็นโปรแกรมสำหรับใช้วาดสมการคณิตศาสตร์
6.LibreOffice Draw เป็นโปรแกรมสำหรับใช้วาดภาพลงกระดาษและโปสเตอร์
LibreOffice เป็นโปรแกรมที่มีคุณสมบัติไม่ด้อยไปกว่าMicrosoft Office เหมาะสมสำหรับคนที่ไม่อยากใช้ Microsoft Office ที่ละมิดลิขสิทธิ์"
1127,เทศบาลเมืองนครนายกมีอาณาเขตติดกับอะไรบ้าง,"- ทิศเหนือ ติดต่อกับองค์การบริหารส่วนตำบลพรหมณี และองค์การบริหารส่วนตำบลบ้านใหญ่ อำเภอเมืองนครนายก
- ทิศใต้ ติดต่อกับองค์การบริหารส่วนตำบลท่าช้าง องค์การบริหารส่วนตำบลวังกระโจม และองค์การบริหารส่วนตำบลบ้านใหญ่ อำเภอเมืองนครนายก
- ทิศตะวันออก ติดต่อกับองค์การบริหารส่วนตำบลบ้านใหญ่ อำเภอเมืองนครนายก
- ทิศตะวันตก ติดต่อกับองค์การบริหารส่วนตำบลพรหมณี และองค์การบริหารส่วนตำบลท่าช้าง อำเภอเมืองนครนายก"
170,ส่วนผสมหลักในพิซซ่าคืออะไร,ส่วนประกอบหลักในพิซซ่าโดยทั่วไปประกอบด้วยชีส ซอส และท็อปปิ้ง
2247,พฤติกรรมเลียนแบบในเด็กเกิดจากอะไร,พฤติกรรมเลียนแบบในเด็กเกิดจากการเลียนแบบสังคม สิ่งแวดล้อมรอบตัวเด็ก โดยเฉพาะพ่อแม่ สื่อ เพื่อน และอื่น ๆ เด็กจะซึมซับพฤติกรรมนั้นมา
1091,อธิบายขั้นตอนการทำข้าวผัดกุนเชียง,"ขั้นตอนในการทําข้าวผัดกุนเชียง
1. ตั้งกระทะใส่น้ํามันพืชเล็กน้อย นํากระเทียมสับลงไปเจียวให้หอม
2. ใส่กุนเชียงลงไปคลุกให้ข้ากัน
3. ปรุงรสด้วยซีอิ๊วขาว, น้ําตาลทราย, พริกไทยป่น, และน้ํามันหอย
4. ใส่ข้าวสวยลงไปคลุกเคล้าให้เข้ากัน
5. ปิดไฟ ตักใส่จานเสิร์ฟ"
605,คุณสมบัติของสุนัขที่สามารถบริจาคเลือดได้มีอะไรบ้าง?,"คุณสมบัติของสุนัขที่สามารถบริจาคเลือดได้ มีดังนี้
- อายุระหว่าง 1-8 ปี
- สุขภาพแข็งแรง มีน้ำหนักมากกว่า 20 กิโลกรัม
- ทำวัคซีนรวมประจำปีครบ มีการป้องกันเห็บหมัดพยาธิหัวใจเป็นประจำทุก 1 เดือน
- ไม่เคยได้รับเลือดมาก่อน
- ตัวเมียควรทำหมันแล้ว
- ไม่เป็นโรคติดต่อทางระบบเลือด
- ไม่เคยเป็นโรคแท้งติดต่อ"
1457,โลหะอัลคาไลมีสมบัติอะไร,"โลหะอัลคาไล มีสมบัติคือ
1. อิเล็กโทรเนกาติวิตีต่ำมาก สามารถให้อิเล็กตรอนได้ดี
2. ทำปฏิกิริยารุนแรงกับน้ำได้ไฮโดรเจน
3. จุดหลอมเหลวต่ำ (โซเดียมมีจุดหลอมเหลวต่ำกว่าน้ำนิดเดียว)
4. ความหนาแน่นต่ำ (ลิเทียม โซเดียม และโพแทสเซียมลอยน้ำได้ มันจะลอยจนกว่ามันจะทำปฏิกิริยากับน้ำเสร็จสิ้น)
5. สารประกอบละลายน้ำได้ดี ออกไซด์เป็นเบสแก่"
2005,ประเทศอังกฤษกับประเทศญี่ปุ่นมีอะไรที่เหมือนกัน,ประเทศทั้งสองต่างเป็นประเทศที่อยู่บนเกาะ และเป็นประเทศที่พัฒนาแล้วทั้งคู่ นอกจากนั้นทั้งคู่ต่างเป็นประเทศที่กำเนิดภาษาของตัวเองที่มีคนใช้งานกันทั่วโลก เช่น ประเทศอังกฤษ ให้กำเนิดภาษาอังกฤษที่เป็นภาษาสากลของโลก และประเทศญี่ปุ่น ให้กำเนิดภาษาญี่ปุ่น ซึ่งมีคนนิยมใช้งานนอกจากประเทศญี่ปุ่นเช่นกัน
2895,ปฏิพากย์คืออะไร,ปฏิพากย์ คือ การใช้ถ้อยคำที่มีความหมายตรงกันข้าม หรือขัดแย้งกันมากล่าว อย่างกลมกลืนกันเพื่อเพิ่มความหมายให้มีน้ำหนักมากยิ่งขึ้น
2852,ความเสมอภาคทางสังคมหมายความว่าอย่างไร,ความเสมอภาคทางสังคม หมายความว่า การที่ทุกคนสามารถอยู่ร่วมกันในสังคมได้อย่างมีความสงบสุข ด้วยความเคารพซึ่งกันและกัน มีศักดิ์ศรีของความเป็นมนุษย์เท่าเทียมกัน มีคุณค่า และมีความสำคัญเท่าเทียมกัน
2645,แม่น้ำสองสีที่อุบลราชธานีเกิดขึ้นมาได้อย่างไร,เกิดจากแม่น้ำโขงและแม่น้ำมูลไหลมาบรรจบกันซึ่งแม่น้ำทั้งสองมีสีที่แตกต่างกัน
289,จะเกิดอะไรขึ้น หากประเทศจีนมีการควบคุมการระบาดของโควิด-19 ดีกว่านี้ ไม่ให้แพร่ออกมาสู่นอกประเทศและเปิดเผยข้อมูลให้กับนานาชาติ ไม่ปิดข่าว,การระบาดของโควิด-19 หรือไวรัสอู่ฮั่น จะไม่รุนแรงถึงขนาดหลายประเทศทั่วโลกต้องล็อกดาวน์ หรือ ห้ามประชาชนออกนอกบ้าน ผู้สูงอายู และคนจำนวนมากอาจจะไม่เสียชีวิตจากการติดเชื้อ ลดความเสี่ยงต่อการเกิดสายพันธุ์ใหม่ เศษรฐกิจไม่ประสบปัญหามากเท่ากับการระบาดหนัก ผู้คนจะไม่สูญเสียโอกาสในการใช้ชีวิตทั้งการเรียน การทำงาน หรือประสบการณ์ชีวิต และภาพลักษณ์ของประเทศจีนจะไม่เสียหายมากเท่าปัจจุบัน
486,อยากขอหมั้นกับแฟนควรทำอย่างไรดี,แนะนำให้คุณถามใจตัวเองว่าพร้อมที่จะหมั้นหรือไม่ หากพร้อมให้ลุย ขอแฟนของคุณหมั้น ใจกล้าเข้าไว้ เตรียมแหวนหมั้นให้พร้อม ดูว่าแฟนของคุณพร้อมไหม คุณกับแฟนของคุณรู้จักใจคอกันมากพอหรือยัง ถ้าพร้อมลุย เลือกสถานที่บรรยากาศ จังหวะดี ๆ แล้วขอหมั้นกับแฟนของคุณ หากแฟนคุณตกลง สวมแหวนหมั้น หรือคุณจะหมั้นแบบไทยก็ได้ ให้พ่อแม่ของคุณไปสู่ขอหมั้นกับพ่อแม่ฝ่ายหญิง
2185,เมืองหลวงของประเทศอังกฤษคืออะไร,ลอนดอน เป็นเมืองหลวงของประเทศอังกฤษ
1421,0 องศาเซลเซียสเท่ากับกี่องศาเคลวิน,273.15 องศาเคลวิน
1811,อยากรู้ยีสต์อันตรายต่อร่างกายมากน้อยแค่ไหน,ยีสต์ก็เป็นส่วนหนึ่งของขนมปัง คุณกินขนมปังก็เท่ากับคุณกินยีสต์ ไม่มีอันตรายต่อร่างกาย
495,ข้อความต่อไปนี้มีความหมายหรือไม่: หกรนอ้รีฟน กยสสรนหก,ไม่มีความหมาย
1094,นักพากย์เขามีขั้นตอนการฝึกฝนอย่างไรบ้าง,ขั้นตอนแรก นักแสดงจะต้องฝึกฝนและเรียนรู้บทบาทของตัวละครที่ตนจะพากษ์เสียง โดยจะต้องศึกษาข้อมูลของบทนั้นๆ อย่างละเอียด เช่น ลักษณะนิสัยของบุคคลในเรื่อง อารมณ์ความรู้สึก บุคลิกภาพ ทักษะทางภาษา วัฒนธรรม ประเพณี ความเชื่อ ฯลฯ จากนั้นจึงฝึกพูดตามบทที่ศึกษามา ฝึกซ้อมบทพูดกับนักพาทย์เสียงมืออาชีพ เพื่อหาจุดบกพร่องและแก้ไขให้ถูกต้อง
3114,คิดข้อความแสดงความยินดีที่เพื่อนสอบเข้ามหาลัยติดให้หน่อย,เราดีใจกับเธอด้วยนะที่สอบติดมหาลัยที่ตั้งใจไว้ได้ ขอให้ประสบความสำเร็จกับการเรียนมหาวิทยาลัย
2069,นักบินอวกาศคนแรกของประเทศไทยคือใคร,ปัจจุบันประเทศไทยยังไม่มีนักบินอวกาศของไทยที่ได้ขึ้นไปอวกาศ แต่ยังคงมี นางสาวพิรดา เตชะวิจิตร์ ที่ผ่านการคัดเลือกรอบสุดท้ายเป็น 1 ใน 23 คน ในโครงการ แอ็กซ์ อพอลโล สเปซ อคาเดมี (AXE Apollo Space Academy) เป็นว่าที่นักบินอวกาศคนแรกของประเทศไทย ตามกำหนดเดิมจะออกเดินทางด้วยยานอวกาศลิงซ์ มาร์ค ทู (LYNX MARK II) แต่บริษัท XCOR ได้หยุดพัฒนายานดังกล่าวไปในปี พ.ศ. 2559 จึงยังไม่มีการปล่อยยานสู่อวกาศและคุณพิรดายังคงไม่ได้ขึ้นไปบนอวกาศ
332,หนอนคอมพิวเตอร์ชนิดแรกบนโลกอินเทอร์เน็ตมีชื่อว่าอะไร,หนอนมอร์ริส (Morris worm)
2203,ลูกชิ้นยืนกินอยู่ที่ไหน และ มีลักษณะอย่างไร,ลูกชิ้นยืนกินอยู่ที่หน้าสถานีรถไฟ จังหวัดบุรีรัมย์ เป็นของกินขึ้นชื่อของบุรีรัมย์ โดยเป็นแผงขายลูกชิ้นพร้อมกับสามารถยืนกินที่ร้านได้ทันที ต้นตำรับลูกชิ้นยืนกินบุรีรัมย์ คือ ลูกชิ้นหมู รับประทานคู่กับน้ำจิ้มสูตรโบราณพริกแห้งและมะขามเปียก จากนั้นมีน้ำจิ้มสูตรพริกเผาเพิ่มมาภายหลัง โดยเหตุผลที่ต้องยืนกินเพราะสะดวกและรวดเร็ว เนื่องจากคนสมัยก่อนนิยมเดินทางด้วยรถไฟ ทั้งเด็กนักเรียนและประชาชนทั่วไป ก็จะซื้อหาลูกชิ้นและยืนกินก่อนจะเดินทางต่อ
1491,อยากทราบว่าการเกิดน้ำอัตราส่วนโดยมวล H:O เท่ากับเท่าไร,1 ต่อ 8 (H 2 กรัม ต่อ O 16 กรัม)
256,สวนสัตว์มีหมู 2 ตัว ไก่ 5 ตัว สิงโต 2 ตัว สวนสัตว์แห่งนี้มีสัตว์ทั้งหมดกี่ตัว,เดิมมีหมู 2 ตัว ไก่ 5 ตัว สิงโต 2 ตัว มีสัตว์ในสวนสัตว์ทั้งหมด 2+5+2=9 คำตอบคือ 9 ตัว
900,เราสามารถสร้างพลังงานฟรีได้ไหม,ปัจจุบันมนุษยชาติไม่สามารถสร้างพลังงานฟรี (Free Energy) ได้ ไม่ว่าจะเป็นการหมุนเวียนแม่เหล็ก หรือ การสร้างพลังงานไฟฟ้าที่หมุนกลับมาเป็นไฟฟ้าได้ หากคุณพบเห็นข่าวหรือโพสต์อ้างว่าสามารถสร้างพลังงานฟรีที่ไม่มีวันหมดได้ ขอให้คุณพิจารณาอย่างรอบคอบ ทุกการเปลี่ยนแปลงพลังงาน การเคลื่อนที่ มีการสูญเสียพลังงานเสมอ
3027,"จงตอบคำถามต่อไปนี้เป็นภาษาอังกฤษเท่านั้น:
แมวพิมพ์ คำนี้มีความหมายว่าอย่างไร",This word is slang in Thai. It's a fun word that is used at the end of sentences by young Thai users.
538,จงคาดเดาเหตุการณ์ที่จะเกิดขึ้นหลังจากเหตุการณ์ต่อไปนี้: สมพรทำแก้วน้ำตกจากที่สูง,แก้วน้ำแตกกระจาย เศษแก้วกระเด้นไป
1289,อยากทราบว่าชื่อ กชพิณทร์ มีความหมายว่าอย่างไร,กช แปลว่า ดอกบัว ส่วน พิณทร์ ไม่มีคำนี้ แต่คงจะแผลงมาจาก พิณ รวมกับ อินทร์
1748,ผู้ใดเป็นคนตั้งชื่อเดือนสมัยใหม่ของไทยครับ? เช่น มกราคม กุมภาพันธ์,สมเด็จพระเจ้าวรวงศ์เธอ กรมพระยาเทวะวงศ์วโรปการ
2968,"จงเลือกคำตอบที่ถูกต้องที่สุดเพียงข้อเดียว
ภาคคะวันออกเฉียงเหนือ:มหาวิทยาลัยขอนแก่น -> ภาคเหนือ:?
ก. มหาวิทยาลัยมหิดล
ข. มหาวิทยาลัยเชียงใหม่
ค. มหาวิทยาลัยเกษตรศาสตร์
ง. มหาวิทยาลัยสงขลานครินทร์","ข. มหาวิทยาลัยเชียงใหม่
เพราะจาก ภาคคะวันออกเฉียงเหนือ:มหาวิทยาลัยขอนแก่น แสดงให้เห็นถึงมหาวิทยาลัยประจำภูมิภาค โดย มหาวิทยาลัยขอนแก่น เป็นมหาวิทยาลัยประจำภาคคะวันออกเฉียงเหนือ และหากพูดถึงภาคเหนือจะต้องเป็นมหาวิทยาลัยเชียงใหม่ที่อยู่ภาคเหนือและเป็นมหาวิทยาลัยประจำภูมิภาค ดังนั้น ภาคเหนือ:มหาวิทยาลัยเชียงใหม่"
642,สัญลักษณ์ทางเคมีของทองคืออะไร,สัญลักษณ์ทางเคมีของทอง คือ Au
2314,การเขียนบันทึกประจำวันมีข้อดีอย่างไรบ้าง,ช่วยบันทึกเรื่องราวในชีวิต เสริมสร้างความจำให้สามารถจดจำได้นานยิ่งขึ้นและยังได้ฝึกพัฒนาทักษะการเขียนไปในตัว
1590,ปรากฏการณ์พื้นที่อับฝนคืออะไร มีลักษณะอย่างไร,พื้นที่อับฝนคือภูมิประเทศที่ไม่มีลมมรสุมจากทะเลพัดผ่าน ส่วนมากจะอยู่ตอนกลางของทวีปหรืออยู่หลังแนวเทือกเขา ตัวอย่างพื้นที่อับฝนเช่น ภาคตะวันตกของไทย หรือแกรนด์แคนยอน
1359,ทำไม พลเอกชวลิต ยงใจยุทธจึงต้องลดค่าเงินบาทจนทำให้เกิดวิกฤตการณ์ทางการเงินในเอเชีย พ.ศ. 2540,เมื่อนำเงินไทยไปซื้อของจากต่างชาติมากเกินไป การจะซื้อขายกับต่างชาติ เงินไทยก็มักจะต้องเอาไปแปลงเป็นเงินของประเทศนั้น ๆ ที่เราจะซื้อสินค้าจากบริษัทของประเทศเขาก่อน
2188,ช้างกินอะไรเป็นอาหาร,"กินอาหารจำพวกพืชอย่างเช่น หญ้าชนิดต่าง ๆ, ไผ่ เป็นต้น"
1411,ถ้าดาวเคราะห์ในระบบสุริยะไม่หมุนรอบตัวเองผลที่จะเกิดขึ้นคือ,ด้านที่สว่างก็จะสว่างตลอดไป ด้านที่มืดก็จะมืดตลอดไป
3043,"จงตอบคำถามต่อไปนี้เป็นภาษาอังกฤษเท่านั้น:
จะทำชีสเค้กมะนาวแสนอร่อยได้อย่างไร?","To make a delicious lemon cheesecake, you'll need to follow a recipe that includes ingredients and steps for both the crust and the filling. Here is a simple yet tasty recipe for you:

Ingredients:
For the Crust:

* 18 graham crackers (about 2 cups of crumbs)
* 1/3 cup granulated sugar
* 7 tablespoons unsalted butter, melted
* A pinch of salt

For the Filling:

* 4 packages (8 oz each) cream cheese, at room temperature
* 1 cup granulated sugar
* Zest of 2 lemons
* Juice of 2 lemons (about 1/2 cup)
* 4 large eggs, at room temperature
* 1 teaspoon vanilla extract

Instructions:

1. Preheat your oven to 350°F (180°C). Grease an 9-inch springform pan with cooking spray or line it with parchment paper on the bottom and sides.

2. Make the crust by processing graham crackers in a food processor until finely ground. Transfer them to a bowl, add sugar, salt, and melted butter; mix well. Press this mixture onto the prepared springform pan, covering just the bottom and about halfway up the sides. Bake the crust for 10 minutes, then set aside to cool completely. Reduce heat to 325°F (165°C).

3. In a separate large mixing bowl, beat softened cream cheese using an electric mixer until smooth and fluffy. Gradually add sugar while continuing to beat the mixture. Scrape down the sides as needed. Mix in the lemon zest and juice, followed by the eggs one at a time, ensuring they are fully incorporated before adding another egg. Add vanilla extract and blend well. Pour this filling over the cooled crust.

4. Place the filled springform pan into a larger roasting dish, creating a water bath around it. Fill the outer pan with enough hot water to reach about half way up the side of the cheesecake pan. This will prevent any cracks from forming during baking. Carefully transfer the whole setup to the preheated oven and bake for approximately 60-70 minutes, or until the edges have slightly puffed but still look somewhat wet, and the center has barely jiggled when shaken gently. The internal temperature should register between 150°F - 155°F (65°C - 68°C).

5. Turn off the oven and allow the cheesecake to rest inside with the door closed for 1 hour. Remove the cake from the oven and let it sit undisturbed until it reaches room temperature, which could take another couple hours depending on how warm your kitchen is. Once it's reached room temp, cover loosely with plastic wrap and refrigerate overnight or up to 2 days.

6. Before serving, remove the ring from the springform pan and slice the chilled cheesecake. You can serve it plain or top with whipped cream and additional lemon zest if desired. Enjoy!"
321,แนะนำเครื่องมือสำหรับจัดเก็บบทความวิชาการไว้อ่านกับทำอ้างอิงให้หน่อย,ขอแนะนำ Zotero เป็นซอฟต์แวร์ที่ใช้งานได้ฟรี สำหรับจัดเก็บบทความวิชาการ ทรัพยากรทางด้านวิจัย และสืบค้นงานวิจัยที่จัดเก็บไว้ โดยสามารถสร้างอ้างอิงในรูปแบบต่าง ๆ ได้อย่างง่ายดาย และรองรับการใช้งานทุกระบบปฏิบัติการ รวมถึงมือถือ แท็บเล็ตอย่าง iOS อีกด้วย คุณสามารถซิงค์งานวิจัยที่ต้องการอ่านบนอุปกรณ์ต่าง ๆ ได้อย่างง่ายดาย
1135,รู้เขารู้เรา รบร้อยครั้งชนะร้อยครั้ง เป็นคำกล่าวของใคร,"ซุนวู เป็นผู้กล่าวประโยคดังกล่าวที่กล่าวว่า ""รู้เขารู้เรา รบร้อยครั้งชนะร้อยครั้ง"""
1803,ข้อใดคือคำสั้งพิมพ์เอกสารออกทางเครื่องพิมพ์,โปรแกรมส่วนใหญ่สามารถสั่งพิมพ์โดยการกดปุ่ม ctrl+p ส่วนถ้าในโปรแกรม word ใช้ file>>page setup
1559,"ในประวัติศาสตร์ล้านนามีกษัตริย์ชื่อ""พระเจ้ามูลเมือง""ไหมหรือเป็นเรื่องแต่ง",เป็นแค่เรื่องแต่ง เพราะในประวัติศาสตร์ไทย พม่า หรือแม้แต่ล้านนาเองไม่มีคำว่าเจ้ามูลเมืองปรากฏอยู่เลย
567,หากสังเกตว่าแมวมีความผิดปกติหรือมีอาการป่วย,ควรทำอย่างไรหรือให้การรักษาพยาบาลเบื้องต้นอย่างไรได้บ้าง ควรรีบนำไปพบสัตวแพทย์เพื่อทำการตรวจวินิจฉัย ไม่ควรให้ยาหรือรักษาอาการเบื้องต้นก่อนทราบสาเหตุของโรค เพราะการให้ยาโดยไม่ทราบขนาด การออกฤทธิ์และผลข้างเคียงของยาอาจส่งผลเสียต่อแมวได้
511,ถ้าไปสวนสัตว์แล้วเห็นฮิปโปหลุดออกมาควรทำอย่างไร,คุณควรออกห่างและหนีจากบริเวณนั้นให้เร็วที่สุด เพราะฮิปโปโปเตมัสเป็นสัวต์ดุร้ายไม่เหมือนในการ์ตูน อาจทำร้ายคุณได้
251,ถ้ามีแมว 3 ต้วอยู่ในบ้าน ซื้อแมวมาเพิ่ม 2 ตัว จะมีแมวอยู่ในบ้านจำนวนเท่าไร,เดิมมีแมวอยู่ในบ้าน 3 ตัว เพิ่มมา 2 ตัว 3+2=5 คำตอบคือ 5 ตัว
257,มีที่ดิน 1 ไร่ 3 งาน แปลงเป็นตารางเมตรได้กี่ตารางเมตร,"เดิมมีที่ดิน 1 ไร่  3 งาน แปลงเป็นตารางเมตรได้จากสูตร 1 ไร่ = 4 งาน = 400 ตารางวา = 1,600 ตารางเมตร และ 1 งาน = 100 ตารางวา = 400 ตารางเมตร จึงทำให้ที่ดิน 1 ไร่ = 1,600 ตารางเมตร และ 3 งาน = 3*400 = 900 ตารางเมตร แล้วนำมารวมกัน 1,600 + 900 = 2,500 ตารางเมตร คำตอบคือ 2,500 ตารางเมตร"
532,ขับรถไปหัวหินจากกรุงเทพแต่ไม่อยากวิ่ง ถนนพระราม 2 จะเปลี่ยนไปวิ่งเส้นไหนดี?,สามารถไปใช้ ถ.บรมราชชนนี (หมายเลข 338) มุ่งหน้า ถ.เพชรเกษม (หมายเลข 4) ผ่าน จ.นครปฐม และ จ.ราชบุรี ก่อนบรรจบกับถนนพระรามที่ 2 บริเวณแยกวังมะนาว แล้วมุ่งลงภาคใต้ได้เลย
1472,ใครคือผู้คิดค้นเลขโรมัน,ชาวโรมัน
1797,ประเทศภูฏาน นั้นอ่าว่า พูตาน หรือ พูถาน กันแน่ ,"อ่าน ""พู-ตาน"""
3135,"ข้อใดเป็นการคิดให้วัฒนะ:
ก. สมชายอยากให้บ้านเมืองพัฒนาไปในทางที่ดีกว่าเดิมด้วยการลงสมัครเลือกตั้ง หาเสียงด้วยนโยบายที่อยากเข้าไปพัฒนาบ้านเมือง
ข. นายกแห่ต้องการให้เฉพาะพวกตัวเองเท่านั้นเป็นรัฐบาล เพื่อสู้กว่าใคร เพื่อชนะคู่แข่ง","ก.
เพราะสมชายคิดอยากให้บ้านเมืองพัฒนาไปในทางที่ดี เป็นการคิดที่ให้คุณประโยชน์ ไม่เหมือนนายกแห่ที่หวังเพียงพวกตัวเองเป็นรัฐบาลโดยอ้างสู้กว่าใคร"
564,ควรมีชามน้ำชามอาหารและกระบะทรายจำนวนเท่าไหร่เพื่อให้เหมาะสมกับแมว,แมวเป็นสัตว์รักความสันโดษ จึงควรมีชามน้ำชามอาหารเป็นของตัวเอง และควรมีกระบะทรายให้แมวขับถ่ายมากกว่าจำนวนแมวที่เลี้ยง
1798,สวัสดีภาษาเวียดนาม พูดว่าอย่างไร,ซิน จ่าว
1425,วิธีทำการทดลองการตกผลึกของสารส้มทำอย่างไร,"เอาสารส้มไปละลายน้ำ แล้วก็ทำอย่างใดอย่างหนึ่งในนี้
1. เอาน้ำสารส้มกรอกใส่โหล เอาเชือกเส้นหนึ่งมาผูกดินสอ แล้วเอาดินสอวางพาดปากโหล ให้เชือกห้อยลงไปในน้ำสารส้ม ทิ้งไว้นาน (มากๆ) แล้วสารส้มตกผลึกก็จะเกาะเชือกสวยงาม
2. ทำเหมือนข้อ 1 แต่ใช้จานแทน จะเกิดผลเร็วขึ้นเพราะน้ำระเหยเร็วขึ้น แต่ผลึกจะไม่ค่อยสวย
3. เอาน้ำสารส้มไปราดบนตัว (ไม่ต้องใช้เชือกพันดินสอ) สักพัก สารส้มจะตกผลึกเป็นเกล็ดๆ ทั่วตัว"
1210,HCN เป็นโมเลกุลมีขั้วหรือไม่,มีขั้วเพราะมันสามารถแตกตัวเป็นไอออนในน้ำได้ CN−
1837,ขอหลักการทำการบ้านแบบทีละขั้นตอนหน่อย,"1. หยิบการบ้านขึ้นไว้บนโต๊ะ
2. เปิดการบ้าน หาข้อที่น่าจะทำได้เร็วสุด แล้วลงมือทำ
3. ข้อที่ยากให้ข้าม แล้วทำทีหลังหลังจากทำข้อง่ายเสร็จทั้งหมด"
