question,answer,prompt,label
ภาพเขียนโมนาลิซ่ามีความพิเศษตรงไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ภาพเขียนโมนาลิซ่ามีความพิเศษตรงไหน?,0
ทำไมสีในภาพวาดถึงซีดจางเมื่อเวลาผ่านไป?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมสีในภาพวาดถึงซีดจางเมื่อเวลาผ่านไป?,0
การเต้นรำประเภทต่างๆ มีกี่แบบ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การเต้นรำประเภทต่างๆ มีกี่แบบ?,0
ทำไมดนตรีถึงส่งผลต่ออารมณ์คน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมดนตรีถึงส่งผลต่ออารมณ์คน?,0
การวาดภาพพอร์ตเทรตต้องเริ่มจากอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การวาดภาพพอร์ตเทรตต้องเริ่มจากอะไร?,0
ดนตรีแจ๊สมีต้นกำเนิดจากที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ดนตรีแจ๊สมีต้นกำเนิดจากที่ไหน?,0
อาหารไทยมีชื่อเสียงเพราะอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,อาหารไทยมีชื่อเสียงเพราะอะไร?,0
การออกแบบโลโก้มีหลักการอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การออกแบบโลโก้มีหลักการอย่างไร?,0
ลายไทยมีความหมายยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ลายไทยมีความหมายยังไง?,0
ทำอย่างไรให้ตื่นเช้าได้ง่ายขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำอย่างไรให้ตื่นเช้าได้ง่ายขึ้น?,0
การจัดโต๊ะทำงานให้มีประสิทธิภาพควรเป็นแบบไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การจัดโต๊ะทำงานให้มีประสิทธิภาพควรเป็นแบบไหน?,0
ทำไมแมวถึงนอนทั้งวัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมแมวถึงนอนทั้งวัน?,0
จะทำอาหารให้อร่อยได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,จะทำอาหารให้อร่อยได้อย่างไร?,0
วิธีคลายเครียดอย่างได้ผลมีอะไรบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,วิธีคลายเครียดอย่างได้ผลมีอะไรบ้าง?,0
ทำไมบางคนชอบทำงานตอนกลางคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมบางคนชอบทำงานตอนกลางคืน?,0
การวางแผนเวลาแบบไหนดีต่อชีวิตที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การวางแผนเวลาแบบไหนดีต่อชีวิตที่สุด?,0
มนุษย์ควรนอนกี่ชั่วโมงต่อคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,มนุษย์ควรนอนกี่ชั่วโมงต่อคืน?,0
ทำไมบางคนฝันซ้ำเรื่องเดิม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมบางคนฝันซ้ำเรื่องเดิม?,0
การปลูกต้นไม้ในบ้านมีประโยชน์อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การปลูกต้นไม้ในบ้านมีประโยชน์อย่างไร?,0
ถ้าคุณย้อนเวลากลับไปได้ จะกลับไปแก้ไขอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้าคุณย้อนเวลากลับไปได้ จะกลับไปแก้ไขอะไร?,0
ถ้าโลกไม่มีแรงโน้มถ่วงจะเกิดอะไรขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้าโลกไม่มีแรงโน้มถ่วงจะเกิดอะไรขึ้น?,0
ถ้าคุณพูดกับสัตว์ได้ คุณจะคุยกับอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้าคุณพูดกับสัตว์ได้ คุณจะคุยกับอะไร?,0
ถ้ามีเวลา 1 วันแบบไม่ต้องทำอะไรเลย คุณจะทำอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้ามีเวลา 1 วันแบบไม่ต้องทำอะไรเลย คุณจะทำอะไร?,0
ถ้ามีปีกบินได้ คุณจะไปไหนก่อน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้ามีปีกบินได้ คุณจะไปไหนก่อน?,0
ถ้ามีไทม์แมชชีน คุณอยากไปยุคไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้ามีไทม์แมชชีน คุณอยากไปยุคไหน?,0
ถ้าคุณสร้างดาวเคราะห์ของตัวเองได้ จะตั้งชื่อว่าอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้าคุณสร้างดาวเคราะห์ของตัวเองได้ จะตั้งชื่อว่าอะไร?,0
ถ้าไม่มีเงินอยู่ในโลก จะเกิดอะไรขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้าไม่มีเงินอยู่ในโลก จะเกิดอะไรขึ้น?,0
ถ้าคุณเป็นซุปเปอร์ฮีโร่ อยากมีพลังอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้าคุณเป็นซุปเปอร์ฮีโร่ อยากมีพลังอะไร?,0
ถ้ามีวันหนึ่งที่ทุกคนบนโลกรู้ความคิดกันได้ จะเกิดอะไรขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ถ้ามีวันหนึ่งที่ทุกคนบนโลกรู้ความคิดกันได้ จะเกิดอะไรขึ้น?,0
ทำไมคำบางคำถึงสะกดยาก?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมคำบางคำถึงสะกดยาก?,0
การแต่งกลอนต้องเริ่มจากอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การแต่งกลอนต้องเริ่มจากอะไร?,0
คำศัพท์ภาษาอังกฤษคำไหนสะกดแปลกที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,คำศัพท์ภาษาอังกฤษคำไหนสะกดแปลกที่สุด?,0
นิยายแนวแฟนตาซีเริ่มต้นจากที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,นิยายแนวแฟนตาซีเริ่มต้นจากที่ไหน?,0
ทำไมบางคนพูดได้หลายภาษา?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมบางคนพูดได้หลายภาษา?,0
การแปลภาษาต่างกับการตีความยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การแปลภาษาต่างกับการตีความยังไง?,0
คำว่า “รัก” มีคำเทียบในภาษาจีนว่าอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,คำว่า “รัก” มีคำเทียบในภาษาจีนว่าอะไร?,0
ทำไมคำบางคำถึงไม่มีคำแปลตรงตัว?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมคำบางคำถึงไม่มีคำแปลตรงตัว?,0
การเขียนนิยายให้สนุกต้องทำยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การเขียนนิยายให้สนุกต้องทำยังไง?,0
ทำไมวรรณกรรมคลาสสิกถึงยังเป็นที่นิยม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมวรรณกรรมคลาสสิกถึงยังเป็นที่นิยม?,0
ทำไมเราถึงหาว?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมเราถึงหาว?,0
ทำไมผิวหนังถึงลอกเวลาไหม้แดด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมผิวหนังถึงลอกเวลาไหม้แดด?,0
ทำไมลิ้นถึงรับรสได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมลิ้นถึงรับรสได้?,0
เส้นผมงอกขึ้นมาได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,เส้นผมงอกขึ้นมาได้อย่างไร?,0
ทำไมคนเราจำฝันได้ไม่หมด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมคนเราจำฝันได้ไม่หมด?,0
ทำไมเราต้องนอนหลับ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมเราต้องนอนหลับ?,0
การออกกำลังกายมีผลต่อสมองอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การออกกำลังกายมีผลต่อสมองอย่างไร?,0
น้ำตาเกิดจากอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,น้ำตาเกิดจากอะไร?,0
ทำไมเสียงแต่ละคนไม่เหมือนกัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมเสียงแต่ละคนไม่เหมือนกัน?,0
ทำไมเด็กถึงพูดช้าหรือเร็วต่างกัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมเด็กถึงพูดช้าหรือเร็วต่างกัน?,0
ประเทศไหนพระอาทิตย์ขึ้นช้าที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ประเทศไหนพระอาทิตย์ขึ้นช้าที่สุด?,0
อาหารญี่ปุ่นมีอะไรที่ไม่เหมือนชาติอื่น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,อาหารญี่ปุ่นมีอะไรที่ไม่เหมือนชาติอื่น?,0
วัฒนธรรมการดื่มกาแฟของประเทศต่างๆ เป็นยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,วัฒนธรรมการดื่มกาแฟของประเทศต่างๆ เป็นยังไง?,0
ทำไมบางประเทศไม่มีชื่อสกุล?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมบางประเทศไม่มีชื่อสกุล?,0
เมืองไหนมีนักท่องเที่ยวมากที่สุดในโลก?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,เมืองไหนมีนักท่องเที่ยวมากที่สุดในโลก?,0
ทำไมบางเมืองถึงมีชื่อเล่นเฉพาะ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมบางเมืองถึงมีชื่อเล่นเฉพาะ?,0
การเดินทางด้วยรถไฟกับเครื่องบินต่างกันยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,การเดินทางด้วยรถไฟกับเครื่องบินต่างกันยังไง?,0
สถานที่ท่องเที่ยวที่ประหลาดที่สุดคือที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,สถานที่ท่องเที่ยวที่ประหลาดที่สุดคือที่ไหน?,0
เทศกาลในอินเดียมีอะไรน่าสนใจบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,เทศกาลในอินเดียมีอะไรน่าสนใจบ้าง?,0
ประเทศไหนมีภาษาทางการมากที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ประเทศไหนมีภาษาทางการมากที่สุด?,0
สุนัขฝันได้ไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,สุนัขฝันได้ไหม?,0
ทำไมปลาบางชนิดมีแสง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมปลาบางชนิดมีแสง?,0
นกกลับรังได้ยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,นกกลับรังได้ยังไง?,0
สัตว์ชนิดไหนนอนน้อยที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,สัตว์ชนิดไหนนอนน้อยที่สุด?,0
ทำไมจระเข้ไม่สามารถแลบลิ้นได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมจระเข้ไม่สามารถแลบลิ้นได้?,0
ทำไมสัตว์บางชนิดเปลี่ยนสีได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมสัตว์บางชนิดเปลี่ยนสีได้?,0
โลมาฉลาดจริงหรือเปล่า?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,โลมาฉลาดจริงหรือเปล่า?,0
ทำไมแมงกะพรุนไม่มีสมองแต่ยังว่ายน้ำได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมแมงกะพรุนไม่มีสมองแต่ยังว่ายน้ำได้?,0
มดสื่อสารกันยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,มดสื่อสารกันยังไง?,0
ทำไมแมวถึงชอบเลียตัวเอง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,ทำไมแมวถึงชอบเลียตัวเอง?,0
ประมวลกฎหมายแพ่งและพาณิชย์แบ่งออกเป็นกี่บรรพ,คำถามนี้เกี่ยวข้องกับกฎหมาย,ประมวลกฎหมายแพ่งและพาณิชย์แบ่งออกเป็นกี่บรรพ,1
บุคคลในทางกฎหมายมีประเภทใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,บุคคลในทางกฎหมายมีประเภทใดบ้าง,1
นิติกรรมตามประมวลกฎหมายแพ่งและพาณิชย์มีกี่ประเภท,คำถามนี้เกี่ยวข้องกับกฎหมาย,นิติกรรมตามประมวลกฎหมายแพ่งและพาณิชย์มีกี่ประเภท,1
สัญญาต้องมีองค์ประกอบอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,สัญญาต้องมีองค์ประกอบอะไรบ้าง,1
การขายฝากกับจำนองแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การขายฝากกับจำนองแตกต่างกันอย่างไร,1
ภาระจำยอมคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ภาระจำยอมคืออะไร,1
หลักเกณฑ์การทำพินัยกรรมในประมวลกฎหมายแพ่งและพาณิชย์มีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,หลักเกณฑ์การทำพินัยกรรมในประมวลกฎหมายแพ่งและพาณิชย์มีอะไรบ้าง,1
สัญญากู้เงินต้องใช้หลักฐานประเภทใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,สัญญากู้เงินต้องใช้หลักฐานประเภทใด,1
สิทธิเรียกร้องในทางแพ่งโอนกันได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,สิทธิเรียกร้องในทางแพ่งโอนกันได้หรือไม่,1
ทรัพย์สินในทางแพ่งแบ่งออกเป็นประเภทใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,ทรัพย์สินในทางแพ่งแบ่งออกเป็นประเภทใดบ้าง,1
การโอนกรรมสิทธิ์ในอสังหาริมทรัพย์ต้องทำอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การโอนกรรมสิทธิ์ในอสังหาริมทรัพย์ต้องทำอย่างไร,1
"คำว่า ""เจ้าหนี้"" และ ""ลูกหนี้"" แตกต่างกันอย่างไรในประมวลกฎหมายแพ่งและพาณิชย์",คำถามนี้เกี่ยวข้องกับกฎหมาย,"คำว่า ""เจ้าหนี้"" และ ""ลูกหนี้"" แตกต่างกันอย่างไรในประมวลกฎหมายแพ่งและพาณิชย์",1
สินสมรสกับสินส่วนตัวแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,สินสมรสกับสินส่วนตัวแตกต่างกันอย่างไร,1
เหตุใดการสมรสจึงเป็นโมฆะ,คำถามนี้เกี่ยวข้องกับกฎหมาย,เหตุใดการสมรสจึงเป็นโมฆะ,1
หลักการแบ่งมรดกตามกฎหมายเป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,หลักการแบ่งมรดกตามกฎหมายเป็นอย่างไร,1
ผู้รับมรดกมีสิทธิรับผิดชอบหนี้สินของเจ้ามรดกหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,ผู้รับมรดกมีสิทธิรับผิดชอบหนี้สินของเจ้ามรดกหรือไม่,1
พินัยกรรมและคำสั่งเสียมีความเหมือนหรือแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,พินัยกรรมและคำสั่งเสียมีความเหมือนหรือแตกต่างกันอย่างไร,1
บุคคลจะเป็นผู้เยาว์ในทางกฎหมายจนถึงอายุเท่าไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,บุคคลจะเป็นผู้เยาว์ในทางกฎหมายจนถึงอายุเท่าไร,1
การจดทะเบียนสมรสมีผลอย่างไรในทางกฎหมาย,คำถามนี้เกี่ยวข้องกับกฎหมาย,การจดทะเบียนสมรสมีผลอย่างไรในทางกฎหมาย,1
เหตุใดการหย่าจึงต้องจดทะเบียน,คำถามนี้เกี่ยวข้องกับกฎหมาย,เหตุใดการหย่าจึงต้องจดทะเบียน,1
สินสมรสเกิดขึ้นเมื่อใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,สินสมรสเกิดขึ้นเมื่อใด,1
การรับรองบุตรต้องมีขั้นตอนใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,การรับรองบุตรต้องมีขั้นตอนใดบ้าง,1
ตัวอย่างของนิติกรรมอำพรางมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,ตัวอย่างของนิติกรรมอำพรางมีอะไรบ้าง,1
สัญญายืมต้องมีหลักฐานอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,สัญญายืมต้องมีหลักฐานอย่างไร,1
ทายาทโดยธรรมมีลำดับใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,ทายาทโดยธรรมมีลำดับใดบ้าง,1
ระยะเวลาการฟ้องคดีกรรมสิทธิ์อสังหาริมทรัพย์กี่ปี,คำถามนี้เกี่ยวข้องกับกฎหมาย,ระยะเวลาการฟ้องคดีกรรมสิทธิ์อสังหาริมทรัพย์กี่ปี,1
หนี้อายุความในประมวลกฎหมายแพ่งและพาณิชย์มีกี่ปี,คำถามนี้เกี่ยวข้องกับกฎหมาย,หนี้อายุความในประมวลกฎหมายแพ่งและพาณิชย์มีกี่ปี,1
ความแตกต่างของสัญญาจ้างแรงงานกับสัญญารับจ้างทำของคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ความแตกต่างของสัญญาจ้างแรงงานกับสัญญารับจ้างทำของคืออะไร,1
การเพิกถอนนิติกรรมต้องปฏิบัติอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การเพิกถอนนิติกรรมต้องปฏิบัติอย่างไร,1
บุคคลสูญหายจะประกาศให้เป็นบุคคลสาบสูญได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,บุคคลสูญหายจะประกาศให้เป็นบุคคลสาบสูญได้หรือไม่,1
การสละมรดกต้องปฏิบัติอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การสละมรดกต้องปฏิบัติอย่างไร,1
กรณีมีลูกตั้งแต่สองคนขึ้นไป มรดกแบ่งกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,กรณีมีลูกตั้งแต่สองคนขึ้นไป มรดกแบ่งกันอย่างไร,1
ทายาทโดยธรรมชั้นที่หนึ่งมีใครบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,ทายาทโดยธรรมชั้นที่หนึ่งมีใครบ้าง,1
ถ้าผู้ตายมีหนี้กับบุคคลภายนอก ทายาทต้องรับผิดหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,ถ้าผู้ตายมีหนี้กับบุคคลภายนอก ทายาทต้องรับผิดหรือไม่,1
การจดทะเบียนจัดตั้งบริษัทต้องใช้เอกสารอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,การจดทะเบียนจัดตั้งบริษัทต้องใช้เอกสารอะไรบ้าง,1
ความแตกต่างของห้างหุ้นส่วนจำกัดกับห้างหุ้นส่วนสามัญเป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ความแตกต่างของห้างหุ้นส่วนจำกัดกับห้างหุ้นส่วนสามัญเป็นอย่างไร,1
การจดทะเบียนสมรสที่ต่างประเทศมีผลในไทยหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การจดทะเบียนสมรสที่ต่างประเทศมีผลในไทยหรือไม่,1
