question,answer,Difficult,prompt,label
ความแตกต่างระหว่าง SSD กับ HDD คืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ความแตกต่างระหว่าง SSD กับ HDD คืออะไร?,0
AI กับ Machine Learning ต่างกันยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,AI กับ Machine Learning ต่างกันยังไง?,0
5G มีข้อดีอย่างไรบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,5G มีข้อดีอย่างไรบ้าง?,0
เทคโนโลยี VR ใช้ในด้านใดบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,เทคโนโลยี VR ใช้ในด้านใดบ้าง?,0
การเข้ารหัสข้อมูลคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การเข้ารหัสข้อมูลคืออะไร?,0
โดรนทำงานอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,โดรนทำงานอย่างไร?,0
ทำไมโทรศัพท์ถึงร้อนเวลาชาร์จ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมโทรศัพท์ถึงร้อนเวลาชาร์จ?,0
ทำไมภูเขาไฟถึงระเบิด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมภูเขาไฟถึงระเบิด?,0
น้ำทะเลมีรสเค็มเพราะอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,น้ำทะเลมีรสเค็มเพราะอะไร?,0
พืชหายใจอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,พืชหายใจอย่างไร?,0
ทำไมไฟฟ้าช็อตถึงอันตราย?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมไฟฟ้าช็อตถึงอันตราย?,0
การสังเคราะห์แสงคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การสังเคราะห์แสงคืออะไร?,0
พายุเกิดขึ้นได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,พายุเกิดขึ้นได้อย่างไร?,0
มนุษย์สามารถอยู่ในอวกาศได้กี่วัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,มนุษย์สามารถอยู่ในอวกาศได้กี่วัน?,0
ทำไมเราจึงเห็นรุ้งกินน้ำ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมเราจึงเห็นรุ้งกินน้ำ?,0
แรงโน้มถ่วงของโลกมาจากไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,แรงโน้มถ่วงของโลกมาจากไหน?,0
ฟ้าร้องเกิดขึ้นได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ฟ้าร้องเกิดขึ้นได้อย่างไร?,0
ศิลปะเรอเนซองส์คืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ศิลปะเรอเนซองส์คืออะไร?,0
ภาพเขียนโมนาลิซ่ามีความพิเศษตรงไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ภาพเขียนโมนาลิซ่ามีความพิเศษตรงไหน?,0
ทำไมสีในภาพวาดถึงซีดจางเมื่อเวลาผ่านไป?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมสีในภาพวาดถึงซีดจางเมื่อเวลาผ่านไป?,0
การเต้นรำประเภทต่างๆ มีกี่แบบ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การเต้นรำประเภทต่างๆ มีกี่แบบ?,0
ทำไมดนตรีถึงส่งผลต่ออารมณ์คน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมดนตรีถึงส่งผลต่ออารมณ์คน?,0
การวาดภาพพอร์ตเทรตต้องเริ่มจากอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การวาดภาพพอร์ตเทรตต้องเริ่มจากอะไร?,0
ดนตรีแจ๊สมีต้นกำเนิดจากที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ดนตรีแจ๊สมีต้นกำเนิดจากที่ไหน?,0
อาหารไทยมีชื่อเสียงเพราะอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,อาหารไทยมีชื่อเสียงเพราะอะไร?,0
การออกแบบโลโก้มีหลักการอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การออกแบบโลโก้มีหลักการอย่างไร?,0
ลายไทยมีความหมายยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ลายไทยมีความหมายยังไง?,0
ทำอย่างไรให้ตื่นเช้าได้ง่ายขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำอย่างไรให้ตื่นเช้าได้ง่ายขึ้น?,0
การจัดโต๊ะทำงานให้มีประสิทธิภาพควรเป็นแบบไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การจัดโต๊ะทำงานให้มีประสิทธิภาพควรเป็นแบบไหน?,0
ทำไมแมวถึงนอนทั้งวัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมแมวถึงนอนทั้งวัน?,0
จะทำอาหารให้อร่อยได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,จะทำอาหารให้อร่อยได้อย่างไร?,0
วิธีคลายเครียดอย่างได้ผลมีอะไรบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,วิธีคลายเครียดอย่างได้ผลมีอะไรบ้าง?,0
ทำไมบางคนชอบทำงานตอนกลางคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมบางคนชอบทำงานตอนกลางคืน?,0
การวางแผนเวลาแบบไหนดีต่อชีวิตที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การวางแผนเวลาแบบไหนดีต่อชีวิตที่สุด?,0
มนุษย์ควรนอนกี่ชั่วโมงต่อคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,มนุษย์ควรนอนกี่ชั่วโมงต่อคืน?,0
ทำไมบางคนฝันซ้ำเรื่องเดิม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมบางคนฝันซ้ำเรื่องเดิม?,0
การปลูกต้นไม้ในบ้านมีประโยชน์อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การปลูกต้นไม้ในบ้านมีประโยชน์อย่างไร?,0
ถ้าคุณย้อนเวลากลับไปได้ จะกลับไปแก้ไขอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าคุณย้อนเวลากลับไปได้ จะกลับไปแก้ไขอะไร?,0
ถ้าโลกไม่มีแรงโน้มถ่วงจะเกิดอะไรขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าโลกไม่มีแรงโน้มถ่วงจะเกิดอะไรขึ้น?,0
ถ้าคุณพูดกับสัตว์ได้ คุณจะคุยกับอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าคุณพูดกับสัตว์ได้ คุณจะคุยกับอะไร?,0
ถ้ามีเวลา 1 วันแบบไม่ต้องทำอะไรเลย คุณจะทำอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้ามีเวลา 1 วันแบบไม่ต้องทำอะไรเลย คุณจะทำอะไร?,0
ถ้ามีปีกบินได้ คุณจะไปไหนก่อน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้ามีปีกบินได้ คุณจะไปไหนก่อน?,0
ถ้ามีไทม์แมชชีน คุณอยากไปยุคไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้ามีไทม์แมชชีน คุณอยากไปยุคไหน?,0
ถ้าคุณสร้างดาวเคราะห์ของตัวเองได้ จะตั้งชื่อว่าอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าคุณสร้างดาวเคราะห์ของตัวเองได้ จะตั้งชื่อว่าอะไร?,0
ถ้าไม่มีเงินอยู่ในโลก จะเกิดอะไรขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าไม่มีเงินอยู่ในโลก จะเกิดอะไรขึ้น?,0
ถ้าคุณเป็นซุปเปอร์ฮีโร่ อยากมีพลังอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าคุณเป็นซุปเปอร์ฮีโร่ อยากมีพลังอะไร?,0
ถ้ามีวันหนึ่งที่ทุกคนบนโลกรู้ความคิดกันได้ จะเกิดอะไรขึ้น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ถ้ามีวันหนึ่งที่ทุกคนบนโลกรู้ความคิดกันได้ จะเกิดอะไรขึ้น?,0
ทำไมคำบางคำถึงสะกดยาก?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมคำบางคำถึงสะกดยาก?,0
การแต่งกลอนต้องเริ่มจากอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การแต่งกลอนต้องเริ่มจากอะไร?,0
คำศัพท์ภาษาอังกฤษคำไหนสะกดแปลกที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,คำศัพท์ภาษาอังกฤษคำไหนสะกดแปลกที่สุด?,0
นิยายแนวแฟนตาซีเริ่มต้นจากที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,นิยายแนวแฟนตาซีเริ่มต้นจากที่ไหน?,0
ทำไมบางคนพูดได้หลายภาษา?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมบางคนพูดได้หลายภาษา?,0
การแปลภาษาต่างกับการตีความยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การแปลภาษาต่างกับการตีความยังไง?,0
คำว่า “รัก” มีคำเทียบในภาษาจีนว่าอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,คำว่า “รัก” มีคำเทียบในภาษาจีนว่าอะไร?,0
ทำไมคำบางคำถึงไม่มีคำแปลตรงตัว?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมคำบางคำถึงไม่มีคำแปลตรงตัว?,0
การเขียนนิยายให้สนุกต้องทำยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การเขียนนิยายให้สนุกต้องทำยังไง?,0
ทำไมวรรณกรรมคลาสสิกถึงยังเป็นที่นิยม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมวรรณกรรมคลาสสิกถึงยังเป็นที่นิยม?,0
ทำไมเราถึงหาว?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมเราถึงหาว?,0
ทำไมผิวหนังถึงลอกเวลาไหม้แดด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมผิวหนังถึงลอกเวลาไหม้แดด?,0
ทำไมลิ้นถึงรับรสได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมลิ้นถึงรับรสได้?,0
เส้นผมงอกขึ้นมาได้อย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,เส้นผมงอกขึ้นมาได้อย่างไร?,0
ทำไมคนเราจำฝันได้ไม่หมด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมคนเราจำฝันได้ไม่หมด?,0
ทำไมเราต้องนอนหลับ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมเราต้องนอนหลับ?,0
การออกกำลังกายมีผลต่อสมองอย่างไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การออกกำลังกายมีผลต่อสมองอย่างไร?,0
น้ำตาเกิดจากอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,น้ำตาเกิดจากอะไร?,0
ทำไมเสียงแต่ละคนไม่เหมือนกัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมเสียงแต่ละคนไม่เหมือนกัน?,0
ทำไมเด็กถึงพูดช้าหรือเร็วต่างกัน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมเด็กถึงพูดช้าหรือเร็วต่างกัน?,0
ประเทศไหนพระอาทิตย์ขึ้นช้าที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ประเทศไหนพระอาทิตย์ขึ้นช้าที่สุด?,0
อาหารญี่ปุ่นมีอะไรที่ไม่เหมือนชาติอื่น?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,อาหารญี่ปุ่นมีอะไรที่ไม่เหมือนชาติอื่น?,0
วัฒนธรรมการดื่มกาแฟของประเทศต่างๆ เป็นยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,วัฒนธรรมการดื่มกาแฟของประเทศต่างๆ เป็นยังไง?,0
ทำไมบางประเทศไม่มีชื่อสกุล?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมบางประเทศไม่มีชื่อสกุล?,0
เมืองไหนมีนักท่องเที่ยวมากที่สุดในโลก?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,เมืองไหนมีนักท่องเที่ยวมากที่สุดในโลก?,0
ทำไมบางเมืองถึงมีชื่อเล่นเฉพาะ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมบางเมืองถึงมีชื่อเล่นเฉพาะ?,0
การเดินทางด้วยรถไฟกับเครื่องบินต่างกันยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,การเดินทางด้วยรถไฟกับเครื่องบินต่างกันยังไง?,0
สถานที่ท่องเที่ยวที่ประหลาดที่สุดคือที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,สถานที่ท่องเที่ยวที่ประหลาดที่สุดคือที่ไหน?,0
เทศกาลในอินเดียมีอะไรน่าสนใจบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,เทศกาลในอินเดียมีอะไรน่าสนใจบ้าง?,0
ประเทศไหนมีภาษาทางการมากที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ประเทศไหนมีภาษาทางการมากที่สุด?,0
สุนัขฝันได้ไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,สุนัขฝันได้ไหม?,0
ทำไมปลาบางชนิดมีแสง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมปลาบางชนิดมีแสง?,0
นกกลับรังได้ยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,นกกลับรังได้ยังไง?,0
สัตว์ชนิดไหนนอนน้อยที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,สัตว์ชนิดไหนนอนน้อยที่สุด?,0
ทำไมจระเข้ไม่สามารถแลบลิ้นได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมจระเข้ไม่สามารถแลบลิ้นได้?,0
ทำไมสัตว์บางชนิดเปลี่ยนสีได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมสัตว์บางชนิดเปลี่ยนสีได้?,0
โลมาฉลาดจริงหรือเปล่า?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,โลมาฉลาดจริงหรือเปล่า?,0
ทำไมแมงกะพรุนไม่มีสมองแต่ยังว่ายน้ำได้?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมแมงกะพรุนไม่มีสมองแต่ยังว่ายน้ำได้?,0
มดสื่อสารกันยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,มดสื่อสารกันยังไง?,0
ทำไมแมวถึงชอบเลียตัวเอง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Easy,ทำไมแมวถึงชอบเลียตัวเอง?,0
ประมวลกฎหมายแพ่งและพาณิชย์แบ่งออกเป็นกี่บรรพ,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ประมวลกฎหมายแพ่งและพาณิชย์แบ่งออกเป็นกี่บรรพ,1
บุคคลในทางกฎหมายมีประเภทใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,บุคคลในทางกฎหมายมีประเภทใดบ้าง,1
นิติกรรมตามประมวลกฎหมายแพ่งและพาณิชย์มีกี่ประเภท,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,นิติกรรมตามประมวลกฎหมายแพ่งและพาณิชย์มีกี่ประเภท,1
สัญญาต้องมีองค์ประกอบอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สัญญาต้องมีองค์ประกอบอะไรบ้าง,1
การขายฝากกับจำนองแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การขายฝากกับจำนองแตกต่างกันอย่างไร,1
ภาระจำยอมคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ภาระจำยอมคืออะไร,1
หลักเกณฑ์การทำพินัยกรรมในประมวลกฎหมายแพ่งและพาณิชย์มีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หลักเกณฑ์การทำพินัยกรรมในประมวลกฎหมายแพ่งและพาณิชย์มีอะไรบ้าง,1
สัญญากู้เงินต้องใช้หลักฐานประเภทใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สัญญากู้เงินต้องใช้หลักฐานประเภทใด,1
สิทธิเรียกร้องในทางแพ่งโอนกันได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สิทธิเรียกร้องในทางแพ่งโอนกันได้หรือไม่,1
ทรัพย์สินในทางแพ่งแบ่งออกเป็นประเภทใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ทรัพย์สินในทางแพ่งแบ่งออกเป็นประเภทใดบ้าง,1
การโอนกรรมสิทธิ์ในอสังหาริมทรัพย์ต้องทำอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การโอนกรรมสิทธิ์ในอสังหาริมทรัพย์ต้องทำอย่างไร,1
"คำว่า ""เจ้าหนี้"" และ ""ลูกหนี้"" แตกต่างกันอย่างไรในประมวลกฎหมายแพ่งและพาณิชย์",คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,"คำว่า ""เจ้าหนี้"" และ ""ลูกหนี้"" แตกต่างกันอย่างไรในประมวลกฎหมายแพ่งและพาณิชย์",1
สินสมรสกับสินส่วนตัวแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สินสมรสกับสินส่วนตัวแตกต่างกันอย่างไร,1
เหตุใดการสมรสจึงเป็นโมฆะ,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,เหตุใดการสมรสจึงเป็นโมฆะ,1
หลักการแบ่งมรดกตามกฎหมายเป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หลักการแบ่งมรดกตามกฎหมายเป็นอย่างไร,1
ผู้รับมรดกมีสิทธิรับผิดชอบหนี้สินของเจ้ามรดกหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ผู้รับมรดกมีสิทธิรับผิดชอบหนี้สินของเจ้ามรดกหรือไม่,1
พินัยกรรมและคำสั่งเสียมีความเหมือนหรือแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,พินัยกรรมและคำสั่งเสียมีความเหมือนหรือแตกต่างกันอย่างไร,1
บุคคลจะเป็นผู้เยาว์ในทางกฎหมายจนถึงอายุเท่าไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,บุคคลจะเป็นผู้เยาว์ในทางกฎหมายจนถึงอายุเท่าไร,1
การจดทะเบียนสมรสมีผลอย่างไรในทางกฎหมาย,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การจดทะเบียนสมรสมีผลอย่างไรในทางกฎหมาย,1
เหตุใดการหย่าจึงต้องจดทะเบียน,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,เหตุใดการหย่าจึงต้องจดทะเบียน,1
สินสมรสเกิดขึ้นเมื่อใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สินสมรสเกิดขึ้นเมื่อใด,1
การรับรองบุตรต้องมีขั้นตอนใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การรับรองบุตรต้องมีขั้นตอนใดบ้าง,1
ตัวอย่างของนิติกรรมอำพรางมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ตัวอย่างของนิติกรรมอำพรางมีอะไรบ้าง,1
สัญญายืมต้องมีหลักฐานอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สัญญายืมต้องมีหลักฐานอย่างไร,1
ทายาทโดยธรรมมีลำดับใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ทายาทโดยธรรมมีลำดับใดบ้าง,1
ระยะเวลาการฟ้องคดีกรรมสิทธิ์อสังหาริมทรัพย์กี่ปี,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ระยะเวลาการฟ้องคดีกรรมสิทธิ์อสังหาริมทรัพย์กี่ปี,1
หนี้อายุความในประมวลกฎหมายแพ่งและพาณิชย์มีกี่ปี,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หนี้อายุความในประมวลกฎหมายแพ่งและพาณิชย์มีกี่ปี,1
ความแตกต่างของสัญญาจ้างแรงงานกับสัญญารับจ้างทำของคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ความแตกต่างของสัญญาจ้างแรงงานกับสัญญารับจ้างทำของคืออะไร,1
การเพิกถอนนิติกรรมต้องปฏิบัติอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การเพิกถอนนิติกรรมต้องปฏิบัติอย่างไร,1
บุคคลสูญหายจะประกาศให้เป็นบุคคลสาบสูญได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,บุคคลสูญหายจะประกาศให้เป็นบุคคลสาบสูญได้หรือไม่,1
การสละมรดกต้องปฏิบัติอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การสละมรดกต้องปฏิบัติอย่างไร,1
กรณีมีลูกตั้งแต่สองคนขึ้นไป มรดกแบ่งกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,กรณีมีลูกตั้งแต่สองคนขึ้นไป มรดกแบ่งกันอย่างไร,1
ทายาทโดยธรรมชั้นที่หนึ่งมีใครบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ทายาทโดยธรรมชั้นที่หนึ่งมีใครบ้าง,1
